name,owner,stars,forks,language,created_at,updated_at,size_kb,watchers_count,open_issues,owner_type,owner_public_repos,owner_location,subscribers_count,last_year_commits,contributors,closed_issues,pull_requests
awesome-go,avelino,145873,12362,Go,2014-07-06T13:42:15Z,2025-06-22T02:09:06Z,10383,145873,123,User,225,Brazil,2823,269,428,147,118
ollama,ollama,144414,12153,Go,2023-06-26T19:39:32Z,2025-06-22T02:01:33Z,45615,144414,1862,Organization,3,,827,1348,460,2000,278
go,golang,128502,18199,Go,2014-08-19T04:33:40Z,2025-06-21T22:04:26Z,396968,128502,9358,Organization,61,,3366,2771,384,2000,319
kubernetes,kubernetes,115878,40766,Go,2014-06-06T22:56:04Z,2025-06-22T01:20:11Z,1374593,115878,2572,Organization,79,,3209,6831,344,2000,651
frp,fatedier,95282,14134,Go,2015-12-21T15:24:59Z,2025-06-22T02:17:53Z,30428,95282,52,User,68,,1571,48,116,310,2
gin,gin-gonic,82818,8239,Go,2014-06-16T23:57:25Z,2025-06-21T20:18:30Z,3675,82818,849,Organization,13,$GOPATH,1359,70,438,148,192
hugo,gohugoio,81675,7895,Go,2013-07-04T15:26:26Z,2025-06-22T02:26:54Z,131052,81675,466,Organization,34,,1081,687,415,1094,31
syncthing,syncthing,72874,4629,Go,2013-11-26T09:48:21Z,2025-06-22T02:18:47Z,123274,72874,337,Organization,23,,1020,401,328,821,12
fzf,junegunn,71156,2530,Go,2013-10-23T16:04:23Z,2025-06-22T01:51:58Z,7051,71156,294,User,154,,397,458,275,284,62
moby,moby,69947,18769,Go,2013-01-18T18:10:57Z,2025-06-21T21:52:02Z,234114,69947,3600,Organization,30,,2862,3281,398,1068,432
caddy,caddyserver,65032,4355,Go,2015-01-13T19:45:03Z,2025-06-22T02:25:30Z,19389,65032,216,Organization,30,,846,242,300,286,44
act,nektos,63838,1662,Go,2019-01-02T19:53:43Z,2025-06-21T22:52:36Z,10357,63838,232,Organization,17,,183,133,200,212,27
lazygit,jesseduffield,61192,2095,Go,2018-05-19T00:53:06Z,2025-06-22T02:00:46Z,149556,61192,756,User,60,Melbourne,295,956,315,504,68
prometheus,prometheus,59075,9605,Go,2012-11-24T11:14:12Z,2025-06-22T01:32:16Z,256932,59075,750,Organization,50,,1117,2537,355,1428,208
traefik,traefik,55242,5371,Go,2015-09-13T19:04:02Z,2025-06-22T00:21:55Z,148783,55242,649,Organization,61,Earth,677,476,411,489,31
mkcert,FiloSottile,54004,2831,Go,2018-06-25T05:33:03Z,2025-06-21T23:04:38Z,1799,54004,156,User,107,"Rome, Italy",487,0,36,11,53
minio,minio,53262,5958,Go,2015-01-14T19:23:58Z,2025-06-22T00:30:33Z,134175,53262,52,Organization,128,United States of America,630,455,420,641,15
dive,wagoodman,51153,1882,Go,2018-05-13T15:44:01Z,2025-06-21T23:05:58Z,6984,51153,165,User,105,"Alexandria, VA",358,25,60,96,10
rclone,rclone,51108,4577,Go,2014-03-16T16:19:57Z,2025-06-22T02:02:05Z,210377,51108,1161,Organization,21,,574,684,398,373,190
etcd,etcd-io,49662,10087,Go,2013-07-06T21:57:21Z,2025-06-22T00:23:54Z,90493,49662,310,Organization,18,The Cloud,1301,1750,371,1189,104
go-ethereum,ethereum,49166,20937,Go,2013-12-26T13:05:46Z,2025-06-22T01:42:01Z,224975,49166,331,Organization,311,,2211,799,438,1224,130
gitea,go-gitea,49160,5866,Go,2016-11-01T02:13:26Z,2025-06-22T01:53:05Z,309921,49160,2706,Organization,25,Git Earth,494,1390,403,2000,166
alist,AlistGo,48926,8026,Go,2020-12-23T17:40:29Z,2025-06-22T02:04:37Z,5643,48926,596,Organization,28,,221,320,168,490,37
pocketbase,pocketbase,47889,2400,Go,2022-07-05T06:06:21Z,2025-06-22T01:58:49Z,109804,47889,18,Organization,7,,262,536,42,243,0
gogs,gogs,46514,5032,Go,2014-02-12T01:57:08Z,2025-06-21T17:13:11Z,207977,46514,969,Organization,16,Wildest Dream,1045,83,412,113,41
v2ray-core,v2ray,46113,8916,Go,2015-09-04T11:42:53Z,2025-06-21T14:51:19Z,55126,46113,5,Organization,23,,1344,0,83,29,1
terraform,hashicorp,45421,9899,Go,2014-03-13T22:25:48Z,2025-06-22T02:26:37Z,341830,45421,1952,Organization,919,"San Francisco, CA",1143,1415,359,1218,133
lazydocker,jesseduffield,44859,1426,Go,2019-05-18T08:53:50Z,2025-06-22T02:25:50Z,28730,44859,211,User,60,Melbourne,272,34,74,8,44
build-web-application-with-golang,astaxie,43644,10607,Go,2012-08-02T11:49:35Z,2025-06-22T00:42:23Z,38293,43644,133,User,83,"Shanghai, China",2331,0,349,0,13
memos,usememos,42001,2993,Go,2021-12-08T15:30:18Z,2025-06-22T02:30:34Z,36281,42001,30,Organization,8,,170,845,278,525,12
nvm-windows,coreybutler,41550,3538,Go,2014-09-20T16:37:28Z,2025-06-21T19:53:46Z,33300,41550,85,User,101,,458,49,77,66,11
cobra,spf13,40834,2953,Go,2013-09-03T20:40:26Z,2025-06-21T21:28:09Z,2073,40834,317,User,112,NYC,368,44,298,65,94
cli,cli,39496,6664,Go,2019-10-03T15:24:53Z,2025-06-21T23:27:05Z,47795,39496,829,Organization,10,,941,2097,387,766,32
esbuild,evanw,39019,1214,Go,2016-06-14T16:08:50Z,2025-06-22T00:57:20Z,19867,39019,564,User,124,San Francisco,270,144,109,195,51
tidb,pingcap,38606,5958,Go,2015-09-06T04:01:52Z,2025-06-21T20:05:47Z,550229,38606,5123,Organization,161,,1244,2417,393,2000,1111
gorm,go-gorm,38383,4048,Go,2013-10-25T08:31:38Z,2025-06-22T00:21:05Z,4621,38383,458,Organization,29,,493,41,401,152,22
photoprism,photoprism,37702,2094,Go,2018-01-27T12:00:15Z,2025-06-22T02:23:20Z,286166,37702,436,Organization,22,"Berlin, Germany",333,2077,175,308,11
istio,istio,36978,7997,Go,2016-11-18T23:57:21Z,2025-06-21T22:21:38Z,282100,36978,550,Organization,41,,973,1900,363,2000,56
fiber,gofiber,36926,1805,Go,2020-01-16T03:59:20Z,2025-06-21T23:05:49Z,231135,36926,113,Organization,33,,285,328,373,269,13
compose,docker,35643,5427,Go,2013-12-09T11:40:58Z,2025-06-22T01:12:08Z,26755,35643,79,Organization,161,United States of America,715,458,202,677,10
milvus,milvus-io,35513,3263,Go,2019-09-16T06:43:43Z,2025-06-21T21:49:54Z,237039,35513,749,Organization,64,San Francisco,306,2476,275,2000,80
the-way-to-go_ZH_CN,unknwon,34943,8612,Go,2013-03-24T17:18:38Z,2025-06-20T10:33:23Z,12602,34943,46,User,43,,1251,0,216,1,21
LeetCode-Go,halfrost,33551,5770,Go,2017-07-18T00:06:14Z,2025-06-21T07:30:36Z,19315,33551,21,User,32,"[California, Singapore, China]",627,7,44,1,5
LocalAI,mudler,33354,2567,Go,2023-03-18T22:58:02Z,2025-06-22T01:35:22Z,21070,33354,484,User,275,Italy,218,2273,135,1105,24
nps,ehang-io,32910,5925,Go,2018-11-04T13:22:51Z,2025-06-22T02:19:21Z,9168,32910,518,Organization,4,,469,0,30,5,19
harness,harness,32883,2846,Go,2014-02-07T07:54:44Z,2025-06-21T16:38:04Z,53155,32883,73,Organization,157,,541,1238,59,125,2
vault,hashicorp,32622,4382,Go,2015-02-25T00:15:59Z,2025-06-21T04:51:57Z,329382,32622,1376,Organization,919,"San Francisco, CA",795,1545,389,1791,261
bubbletea,charmbracelet,32424,919,Go,2020-01-10T21:04:03Z,2025-06-22T02:07:27Z,5527,32424,119,Organization,46,/dev/tty,119,157,128,150,48
beego,beego,32122,5631,Go,2012-02-29T02:32:08Z,2025-06-20T17:47:35Z,12022,32122,15,Organization,49,,1169,33,351,74,11
v2ray-core,v2fly,31302,4827,Go,2019-04-15T10:05:54Z,2025-06-21T23:46:36Z,68375,31302,39,Organization,27,Mars,446,154,145,162,8
go-zero,zeromicro,31260,4136,Go,2020-08-07T15:37:57Z,2025-06-21T10:55:44Z,32059,31260,355,Organization,42,,310,300,283,451,114
echo,labstack,31169,2280,Go,2015-03-01T17:43:01Z,2025-06-21T23:47:04Z,6292,31169,100,Organization,20,SFO,530,30,263,31,34
cockroach,cockroachdb,31014,3919,Go,2014-02-06T00:18:47Z,2025-06-22T01:01:54Z,3151027,31014,7330,Organization,212,,682,11737,322,2000,1166
minikube,kubernetes,30577,4998,Go,2016-04-15T22:38:35Z,2025-06-21T23:14:36Z,239249,30577,545,Organization,79,,483,1368,382,1133,58
croc,schollz,30407,1217,Go,2017-10-17T15:20:18Z,2025-06-22T01:58:51Z,25017,30407,10,User,1108,"Seattle, WA",252,170,102,73,4
