name,owner,stars,forks,language,created_at,updated_at,size_kb,watchers_count,open_issues,owner_type,owner_public_repos,owner_location,subscribers_count,last_year_commits,contributors,closed_issues,pull_requests
Magisk,topjohnwu,53831,14133,Kotlin,2016-09-08T12:42:53Z,2025-06-22T09:59:35Z,61051,53831,42,User,47,US / Taiwan,1569,493,285,494,10
kotlin,JetBrains,50775,5944,Kotlin,2012-02-13T17:29:58Z,2025-06-22T08:50:05Z,4050316,50775,191,Organization,741,Netherlands,1523,10570,283,58,189
okhttp,square,46461,9209,Kotlin,2012-07-23T13:42:55Z,2025-06-22T07:54:11Z,57819,46461,172,Organization,295,,1614,247,265,292,18
architecture-samples,android,45106,11760,Kotlin,2016-02-05T13:42:07Z,2025-06-22T05:57:31Z,13407,45106,209,Organization,141,,2406,20,58,34,71
v2rayNG,2dust,41885,6080,Kotlin,2019-05-15T02:15:31Z,2025-06-22T09:56:26Z,264860,41885,10,User,13,,569,627,49,431,0
fanqiang,bannedbook,39917,7359,Kotlin,2015-01-14T00:34:25Z,2025-06-22T09:15:04Z,751920,39917,325,User,204,,1201,41,2,10,0
legado,gedoor,37061,4425,Kotlin,2019-05-22T04:18:58Z,2025-06-22T09:55:52Z,76768,37061,79,User,21,,269,962,63,602,14
shadowsocks-android,shadowsocks,35836,11554,Kotlin,2012-12-16T13:40:29Z,2025-06-22T08:25:12Z,53762,35836,52,Organization,67,,1560,39,41,5,6
p3c,alibaba,30651,8069,Kotlin,2017-06-23T06:15:51Z,2025-06-22T06:37:08Z,27099,30651,186,Organization,453,"Hangzhou, China",1303,0,37,4,25
leakcanary,square,29724,3981,Kotlin,2015-04-29T23:54:16Z,2025-06-22T06:15:07Z,147448,29724,131,Organization,295,,977,5,138,7,10
gkd,gkd-kit,28939,1421,Kotlin,2023-07-04T03:59:15Z,2025-06-22T09:59:34Z,3672,28939,9,Organization,8,China,92,458,6,78,0
Signal-Android,signalapp,27187,6438,Kotlin,2011-12-15T20:01:12Z,2025-06-22T09:20:01Z,1761237,27187,369,Organization,122,Everywhere and nowhere,886,2177,324,504,15
BaseRecyclerViewAdapterHelper,CymChad,24485,5171,Kotlin,2016-04-10T07:40:11Z,2025-06-21T09:02:04Z,67423,24485,426,User,4,Shanghai,558,8,39,27,22
iosched,google,21770,6167,Kotlin,2014-04-01T22:40:40Z,2025-06-21T23:00:25Z,58059,21770,76,Organization,2777,United States of America,1425,0,54,0,21
compose-samples,android,21762,5113,Kotlin,2019-09-27T09:51:19Z,2025-06-22T08:43:10Z,197972,21762,8,Organization,141,,431,449,118,68,3
SmsForwarder,pppscn,21527,2795,Kotlin,2021-02-10T02:23:07Z,2025-06-22T09:29:37Z,468160,21527,33,User,31,,118,36,23,43,1
Seal,JunkFood02,19710,791,Kotlin,2022-04-15T01:15:25Z,2025-06-22T08:34:46Z,11075,19710,381,User,30,,122,180,34,45,5
material-dialogs,afollestad,19682,3109,Kotlin,2014-11-03T03:21:42Z,2025-06-21T04:28:27Z,265793,19682,111,User,25,"St. Paul, Minnesota",558,0,90,0,12
nowinandroid,android,18955,3630,Kotlin,2022-04-19T20:40:24Z,2025-06-22T09:45:58Z,56494,18955,198,Organization,141,,366,464,134,61,52
picasso,square,18808,3977,Kotlin,2013-05-14T15:07:47Z,2025-06-22T00:51:28Z,5747,18808,213,Organization,295,,830,22,100,2,21
flexbox-layout,google,18327,1806,Kotlin,2016-05-04T08:11:22Z,2025-06-21T16:33:58Z,49328,18327,133,Organization,2777,United States of America,439,0,27,1,14
compose-multiplatform,JetBrains,17765,1259,Kotlin,2020-09-07T10:40:49Z,2025-06-22T02:07:36Z,284730,17765,72,Organization,741,Netherlands,240,218,160,145,72
sunflower,android,17756,4755,Kotlin,2018-05-23T03:02:28Z,2025-06-22T07:05:59Z,11234,17756,76,Organization,141,,525,6,90,0,6
lottie-react-native,lottie-react-native,16945,1796,Kotlin,2017-01-27T18:24:50Z,2025-06-21T00:26:20Z,418585,16945,62,Organization,1,,223,27,134,33,9
plaid,nickbutcher,16250,3140,Kotlin,2015-10-30T16:10:56Z,2025-06-19T01:47:28Z,33949,16250,102,User,11,London,616,0,65,1,24
anko,Kotlin,15852,1289,Kotlin,2014-09-18T12:12:23Z,2025-06-20T02:26:58Z,15239,15852,243,Organization,109,,529,0,69,0,6
Shizuku,RikkaApps,15108,968,Kotlin,2017-05-24T13:53:49Z,2025-06-22T05:57:19Z,39013,15108,30,Organization,24,,242,36,124,284,2
mirai,mamoe,14787,2545,Kotlin,2019-08-07T10:14:28Z,2025-06-22T09:54:43Z,96914,14787,293,Organization,6,,135,1,114,4,16
NekoBoxForAndroid,MatsuriDayo,14636,1195,Kotlin,2023-03-04T13:26:16Z,2025-06-22T09:53:05Z,4851,14636,45,Organization,16,,100,61,21,159,1
mihon,mihonapp,14159,645,Kotlin,2024-01-15T20:03:57Z,2025-06-22T09:49:10Z,66255,14159,405,Organization,8,,81,549,235,551,31
ktor,ktorio,13678,1147,Kotlin,2015-08-03T16:49:36Z,2025-06-22T07:10:09Z,54178,13678,182,Organization,35,"Clusters and Servers, Mobiles and Web",174,714,332,363,46
kotlinx.coroutines,Kotlin,13414,1890,Kotlin,2016-06-22T13:49:21Z,2025-06-22T09:30:46Z,36305,13414,329,Organization,109,,291,122,289,129,33
uamp,android,13192,3766,Kotlin,2015-03-10T00:04:35Z,2025-06-21T11:43:05Z,9283,13192,99,Organization,141,,642,2,38,3,15
KernelSU,tiann,12768,2429,Kotlin,2022-12-09T14:03:54Z,2025-06-22T09:33:58Z,18744,12768,30,User,131,China,110,208,222,365,9
RxTool,Tamsiree,12299,2861,Kotlin,2016-09-24T09:30:45Z,2025-06-20T03:34:39Z,108432,12299,70,User,32,Shanghai,409,0,6,0,0
thunderbird-android,thunderbird,12101,2593,Kotlin,2011-02-04T02:40:00Z,2025-06-22T09:21:13Z,151596,12101,850,Organization,82,,363,1826,296,1000,17
MaterialDrawer,mikepenz,11662,2044,Kotlin,2015-01-31T17:37:10Z,2025-06-19T23:33:43Z,23270,11662,6,User,104,"Linz, Austria",329,30,99,19,0
TranslationPlugin,YiiGuxing,11636,815,Kotlin,2016-06-01T08:39:51Z,2025-06-21T21:22:35Z,24483,11636,51,User,26,,95,242,12,64,0
recyclerview-animators,wasabeef,11546,1974,Kotlin,2014-12-22T14:07:08Z,2025-06-21T16:34:40Z,67775,11546,110,User,55,"Tokyo, Japan",307,0,28,0,5
gallery,google-ai-edge,11483,810,Kotlin,2025-03-31T17:47:28Z,2025-06-22T09:56:47Z,1095,11483,111,Organization,11,,126,70,5,28,7
coil,coil-kt,11300,700,Kotlin,2019-08-10T21:28:21Z,2025-06-21T09:54:44Z,125567,11300,50,Organization,1,"San Francisco, CA, USA",104,414,92,228,7
awesome-kotlin,Heapy,11180,1241,Kotlin,2015-08-17T23:29:55Z,2025-06-21T13:10:33Z,451568,11180,27,Organization,14,,332,101,343,36,5
SpotiFlyer,Shabinder,10803,799,Kotlin,2020-07-15T20:05:01Z,2025-06-22T08:54:19Z,65684,10803,537,User,96,"Kolkata, West Bengal",167,2,37,10,51
timber,JakeWharton,10612,976,Kotlin,2013-07-18T06:23:33Z,2025-06-21T21:01:34Z,1458,10612,61,User,145,"Pittsburgh, PA, USA",249,1,45,3,13
AppIntro,AppIntro,10561,1767,Kotlin,2015-06-03T16:02:10Z,2025-06-20T16:50:05Z,40053,10561,39,Organization,1,,246,73,124,30,9
BiliRoaming,yujincheng08,10550,573,Kotlin,2019-12-15T09:54:31Z,2025-06-22T03:24:34Z,5017,10550,68,User,112,Hong Kong,90,69,40,76,1
LibreTube,libre-tube,10049,496,Kotlin,2021-12-09T12:31:36Z,2025-06-21T17:02:43Z,101155,10049,67,Organization,6,,116,1738,286,565,11
moshi,square,9925,767,Kotlin,2014-08-09T15:58:42Z,2025-06-22T07:53:43Z,4968,9925,114,Organization,295,,182,77,83,46,16
ideavim,JetBrains,9780,786,Kotlin,2011-03-09T15:22:27Z,2025-06-22T07:45:43Z,116649,9780,1,Organization,741,Netherlands,340,886,128,117,1
chains,ethereum-lists,9737,7359,Kotlin,2018-12-20T17:53:10Z,2025-06-21T15:42:41Z,404561,9737,193,Organization,13,,556,1004,468,845,145
reader,hectorqin,9671,5366,Kotlin,2021-08-13T06:28:54Z,2025-06-22T08:19:15Z,12748,9671,74,User,241,,60,12,8,24,4
Anki-Android,ankidroid,9658,2452,Kotlin,2013-01-20T13:55:53Z,2025-06-22T09:40:00Z,281669,9658,295,Organization,8,,153,1282,351,1035,41
