name,owner,stars,forks,language,created_at,updated_at,size_kb,watchers_count,open_issues,owner_type,owner_public_repos,owner_location,subscribers_count,last_year_commits,contributors,closed_issues,pull_requests
freeCodeCamp,freeCodeCamp,421248,40512,TypeScript,2014-12-24T17:49:19Z,2025-06-21T21:26:50Z,503056,421248,311,Organization,236,United States of America,5000,2828,381,2000,97
developer-roadmap,kamranahmedse,327978,42152,TypeScript,2017-03-15T13:45:52Z,2025-06-21T21:19:20Z,264095,327978,267,User,105,United Kingdom,5000,2118,472,698,25
vue,vuejs,209032,33749,TypeScript,2013-07-29T03:24:51Z,2025-06-21T21:35:31Z,32152,209032,602,Organization,124,All Over the World,5000,1,356,48,247
vscode,microsoft,173726,33226,TypeScript,2015-09-03T20:23:38Z,2025-06-21T21:37:48Z,1028119,173726,10690,Organization,6928,"Redmond, WA",3354,11842,328,2000,606
tech-interview-handbook,yangshun,127091,15494,TypeScript,2016-07-05T05:00:48Z,2025-06-21T21:50:57Z,32509,127091,52,User,110,Singapore,2164,22,163,12,14
n8n,n8n-io,110140,31750,TypeScript,2019-06-22T09:24:21Z,2025-06-21T21:48:24Z,223447,110140,993,Organization,39,Germany,677,3316,419,2000,379
TypeScript,microsoft,105008,12886,TypeScript,2014-06-17T15:28:39Z,2025-06-21T21:48:29Z,2916295,105008,6084,Organization,6928,"Redmond, WA",2160,474,345,1067,471
dify,langgenius,104106,15668,TypeScript,2023-04-12T07:40:24Z,2025-06-21T21:36:32Z,100111,104106,772,Organization,23,,646,3708,471,2000,100
excalidraw,excalidraw,102258,10082,TypeScript,2020-01-02T01:04:43Z,2025-06-21T21:34:01Z,93224,102258,2187,Organization,24,,453,323,321,508,432
angular,angular,98186,26343,TypeScript,2014-09-18T16:12:01Z,2025-06-21T21:35:54Z,552889,98186,1582,Organization,205,United States of America,3004,3105,380,2000,116
material-ui,mui,95957,32584,TypeScript,2014-08-18T19:11:54Z,2025-06-21T16:52:07Z,689793,95957,1733,Organization,19,Global,1333,2064,420,2000,135
ant-design,ant-design,95141,52727,TypeScript,2015-04-24T15:37:24Z,2025-06-21T20:34:10Z,226631,95141,1263,Organization,138,"HangZhou, China",247,1565,376,2000,45
