name,owner,stars,forks,language,url,open_issues
public-apis,public-apis,337978,35684,Python,https://github.com/public-apis/public-apis,452
system-design-primer,donnemartin,297375,49423,Python,https://github.com/donnemartin/system-design-primer,489
awesome-python,vinta,241672,25593,Python,https://github.com/vinta/awesome-python,473
Python,TheAlgorithms,199950,46665,Python,https://github.com/TheAlgorithms/Python,371
AutoGPT,Significant-Gravitas,174837,45629,Python,https://github.com/Significant-Gravitas/AutoGPT,207
stable-diffusion-webui,AUTOMATIC1111,151798,28226,Python,https://github.com/AUTOMATIC1111/stable-diffusion-webui,2398
transformers,huggingface,143574,28783,Python,https://github.com/huggingface/transformers,1768
youtube-dl,ytdl-org,135357,10308,Python,https://github.com/ytdl-org/youtube-dl,4175
yt-dlp,yt-dlp,109752,8608,Python,https://github.com/yt-dlp/yt-dlp,1909
HelloGitHub,521xueweihan,101997,9910,Python,https://github.com/521xueweihan/HelloGitHub,219
DeepSeek-V3,deepseek-ai,96141,15642,Python,https://github.com/deepseek-ai/DeepSeek-V3,99
thefuck,nvbn,91665,3682,Python,https://github.com/nvbn/thefuck,376
pytorch,pytorch,89436,23980,Python,https://github.com/pytorch/pytorch,16230
fastapi,fastapi,83805,7272,Python,https://github.com/fastapi/fastapi,355
django,django,83335,32531,Python,https://github.com/django/django,331
whisper,openai,80765,9699,Python,https://github.com/openai/whisper,97
core,home-assistant,78312,33431,Python,https://github.com/home-assistant/core,3157
models,tensorflow,77497,45615,Python,https://github.com/tensorflow/models,1251
manim,3b1b,77048,6664,Python,https://github.com/3b1b/manim,456
ComfyUI,comfyanonymous,75426,8219,Python,https://github.com/comfyanonymous/ComfyUI,2330
devops-exercises,bregman-arie,75128,16723,Python,https://github.com/bregman-arie/devops-exercises,34
funNLP,fighting41love,72698,14820,Python,https://github.com/fighting41love/funNLP,38
screenshot-to-code,abi,69737,8607,Python,https://github.com/abi/screenshot-to-code,123
flask,pallets,69412,16372,Python,https://github.com/pallets/flask,6
d2l-zh,d2l-ai,68825,11585,Python,https://github.com/d2l-ai/d2l-zh,108
gpt_academic,binary-husky,68292,8337,Python,https://github.com/binary-husky/gpt_academic,270
awesome-machine-learning,josephmisiti,67793,14874,Python,https://github.com/josephmisiti/awesome-machine-learning,3
cpython,python,66616,31729,Python,https://github.com/python/cpython,9069
PayloadsAllTheThings,swisskyrepo,64989,15288,Python,https://github.com/swisskyrepo/PayloadsAllTheThings,19
ansible,ansible,64849,24017,Python,https://github.com/ansible/ansible,851
gpt4free,xtekky,64120,13616,Python,https://github.com/xtekky/gpt4free,34
sherlock,sherlock-project,63927,7410,Python,https://github.com/sherlock-project/sherlock,215
keras,keras-team,62928,19576,Python,https://github.com/keras-team/keras,309
scikit-learn,scikit-learn,61871,25776,Python,https://github.com/scikit-learn/scikit-learn,2165
new-pac,Alvin9999,60787,9897,Python,https://github.com/Alvin9999/new-pac,425
annotated_deep_learning_paper_implementations,labmlai,60332,6090,Python,https://github.com/labmlai/annotated_deep_learning_paper_implementations,36
open-interpreter,OpenInterpreter,59217,5043,Python,https://github.com/OpenInterpreter/open-interpreter,259
localstack,localstack,58744,4144,Python,https://github.com/localstack/localstack,312
browser-use,browser-use,58233,6281,Python,https://github.com/browser-use/browser-use,428
llama,meta-llama,58164,9749,Python,https://github.com/meta-llama/llama,481
langflow,langflow-ai,56797,6173,Python,https://github.com/langflow-ai/langflow,975
private-gpt,zylon-ai,55706,7469,Python,https://github.com/zylon-ai/private-gpt,268
you-get,soimort,55529,9752,Python,https://github.com/soimort/you-get,383
MetaGPT,geekan,55043,6540,Python,https://github.com/geekan/MetaGPT,105
scrapy,scrapy,55023,10766,Python,https://github.com/scrapy/scrapy,635
markitdown,microsoft,54730,2745,Python,https://github.com/microsoft/markitdown,234
face_recognition,ageitgey,54653,13594,Python,https://github.com/ageitgey/face_recognition,807
Real-Time-Voice-Cloning,CorentinJ,54086,8951,Python,https://github.com/CorentinJ/Real-Time-Voice-Cloning,221
gpt-engineer,AntonOsika,54014,7087,Python,https://github.com/AntonOsika/gpt-engineer,37
faceswap,deepfakes,53751,13373,Python,https://github.com/deepfakes/faceswap,38
yolov5,ultralytics,53603,16855,Python,https://github.com/ultralytics/yolov5,253
OpenHands,All-Hands-AI,53514,5980,Python,https://github.com/All-Hands-AI/OpenHands,283
openpilot,commaai,53194,9658,Python,https://github.com/commaai/openpilot,159
requests,psf,52797,9437,Python,https://github.com/psf/requests,281
hackingtool,Z4nzu,52255,5628,Python,https://github.com/Z4nzu/hackingtool,58
rich,Textualize,51850,1825,Python,https://github.com/Textualize/rich,284
Deep-Live-Cam,hacksider,50962,7568,Python,https://github.com/hacksider/Deep-Live-Cam,34
grok-1,xai-org,50238,8345,Python,https://github.com/xai-org/grok-1,119
PaddleOCR,PaddlePaddle,48702,8162,Python,https://github.com/PaddlePaddle/PaddleOCR,89
LLaMA-Factory,hiyouga,47727,5823,Python,https://github.com/hiyouga/LLaMA-Factory,446
professional-programming,charlax,47560,3778,Python,https://github.com/charlax/professional-programming,1
