name,owner,stars,forks,language,created_at,updated_at,size_kb,watchers_count,open_issues,owner_type,owner_public_repos,owner_location,subscribers_count,last_year_commits,contributors,closed_issues,pull_requests
linux,torvalds,196112,56627,C,2011-09-04T22:48:12Z,2025-06-21T15:07:23Z,5603556,196112,475,User,8,"Portland, OR",5000,77050,0,122,472
scrcpy,Genymobile,123989,11612,C,2017-11-21T18:00:27Z,2025-06-21T14:53:29Z,7501,123989,2430,Organization,51,"Paris, Lyon, San Francisco",1302,411,142,690,59
netdata,netdata,74850,6076,C,2013-06-17T18:39:10Z,2025-06-21T14:31:37Z,233550,74850,248,Organization,67,USA,1355,2396,403,1200,84
redis,redis,69742,24081,C,2009-03-21T22:32:25Z,2025-06-21T14:01:56Z,201479,69742,2620,Organization,49,,2524,473,383,383,492
Ventoy,ventoy,68758,4376,C,2020-03-10T15:19:19Z,2025-06-21T13:25:42Z,213782,68758,974,User,22,China,679,29,110,78,84
obs-studio,obsproject,65090,8495,C,2013-10-01T02:40:31Z,2025-06-21T13:25:33Z,77769,65090,951,Organization,20,,1465,665,411,543,308
git,git,55345,26338,C,2008-07-23T14:21:26Z,2025-06-21T13:42:22Z,279212,55345,242,Organization,9,,2420,3503,420,82,235
FFmpeg,FFmpeg,50755,12742,C,2011-04-14T14:12:38Z,2025-06-21T15:07:08Z,441060,50755,3,Organization,8,,1472,3574,312,1,1
php-src,php,39178,7895,C,2011-06-16T01:52:25Z,2025-06-21T14:57:04Z,597258,39178,1454,Organization,149,,1373,5218,230,1538,635
wrk,wg,39132,3004,C,2012-03-20T11:12:28Z,2025-06-21T11:52:43Z,38743,39132,200,User,56,,748,0,1,0,56
curl,curl,38154,6744,C,2010-03-18T22:32:22Z,2025-06-21T09:51:15Z,108195,38154,42,Organization,22,,784,2871,412,1805,26
tmux,tmux,37819,2213,C,2015-06-03T23:32:55Z,2025-06-21T14:01:04Z,17993,37819,65,Organization,3,,438,324,18,238,7
ijkplayer,bilibili,32935,8201,C,2013-06-03T04:12:04Z,2025-06-21T14:37:32Z,8283,32935,2884,Organization,78,"Shanghai, China",1182,0,40,15,57
my-tv,lizongying,32058,3582,C,2023-12-04T12:18:39Z,2025-06-21T07:55:51Z,72954,32058,146,User,97,China,225,0,9,3,3
jq,jqlang,31972,1639,C,2012-07-18T19:57:25Z,2025-06-21T14:20:20Z,7704,31972,429,Organization,4,,328,108,200,172,76
rufus,pbatard,31785,2756,C,2011-11-19T19:12:05Z,2025-06-21T12:51:54Z,42262,31785,9,User,57,Ireland,587,76,145,197,0
mpv,mpv-player,31045,3044,C,2012-10-13T08:08:44Z,2025-06-21T14:09:54Z,109642,31045,1006,Organization,7,#mpv @ Libera.chat,502,1406,274,812,103
lede,coolsnowwolf,30769,19573,C,2017-09-06T07:39:03Z,2025-06-21T15:10:03Z,320015,30769,759,User,42,,732,675,414,329,2
stb,nothings,29112,7837,C,2014-05-25T16:51:23Z,2025-06-21T09:28:19Z,5777,29112,337,User,8,,632,24,187,28,142
os-tutorial,cfenollosa,28429,3413,C,2014-09-29T08:39:34Z,2025-06-21T14:04:14Z,152,28429,123,User,13,"Barcelona, Spain",796,0,10,3,49
