name,owner,stars,forks,language,created_at,updated_at,size_kb,watchers_count,open_issues,owner_type,owner_public_repos,owner_location,subscribers_count,last_year_commits,contributors,closed_issues,pull_requests
JavaGuide,Snailclimb,150356,45878,Java,2018-05-07T13:27:00Z,2025-06-21T11:02:32Z,177176,150356,72,User,19,"Wuhan, Hubei",4481,417,419,104,2
hello-algo,krahets,113607,14098,Java,2022-11-04T11:08:34Z,2025-06-21T10:00:59Z,362691,113607,28,User,4,,582,112,197,124,15
GitHub-Chinese-Top-Charts,GrowingGit,99636,13087,Java,2019-09-05T03:01:56Z,2025-06-21T10:41:00Z,123199,99636,187,User,2,"Guangzhou, China",2582,110,1,0,9
java-design-patterns,iluwatar,92079,27049,Java,2014-08-09T16:45:18Z,2025-06-21T09:17:13Z,46869,92079,148,User,11,Finland,3736,247,408,173,20
mall,macrozheng,80746,29335,Java,2018-04-04T01:11:44Z,2025-06-21T10:59:30Z,58701,80746,16,User,20,"Wuxi,China",2218,28,1,20,3
advanced-java,doocs,77829,19221,Java,2018-10-06T11:38:30Z,2025-06-21T07:46:01Z,26586,77829,1,Organization,16,China,2581,21,41,11,0
spring-boot,spring-projects,77500,41249,Java,2012-10-19T15:02:57Z,2025-06-21T08:04:26Z,199217,77500,663,Organization,85,United States of America,3351,6062,359,2000,17
LeetCodeAnimation,MisterBooo,75971,13988,Java,2018-12-06T08:01:22Z,2025-06-21T11:13:30Z,509807,75971,21,User,89,"Guangzhou, China",2542,0,15,0,2
elasticsearch,elastic,73007,25270,Java,2010-02-08T13:20:56Z,2025-06-21T08:45:38Z,1422375,73007,5195,Organization,825,,2672,9198,346,2000,959
interviews,kdn251,64247,12946,Java,2017-02-14T18:19:25Z,2025-06-21T06:10:31Z,24462,64247,112,User,23,"New York, New York",2592,3,28,7,81
Stirling-PDF,Stirling-Tools,62157,5226,Java,2023-01-27T18:22:42Z,2025-06-21T10:58:53Z,89825,62157,288,Organization,7,United Kingdom,198,1587,237,1158,18
Java,TheAlgorithms,61900,20003,Java,2016-07-16T10:21:02Z,2025-06-21T08:55:29Z,5661,61900,17,Organization,44,India,2198,608,431,196,8
spring-framework,spring-projects,58294,38538,Java,2010-12-08T04:04:45Z,2025-06-21T10:36:42Z,231061,58294,301,Organization,85,United States of America,3313,2623,356,1042,27
ghidra,NationalSecurityAgency,57975,6470,Java,2019-03-01T03:27:48Z,2025-06-21T10:45:00Z,387655,57975,1734,Organization,84,United States,1061,2573,318,458,283
guava,google,50882,11016,Java,2014-05-29T16:23:17Z,2025-06-21T09:23:41Z,562686,50882,714,Organization,2777,United States of America,2361,424,322,291,85
RxJava,ReactiveX,48176,7606,Java,2013-01-08T20:11:48Z,2025-06-21T00:09:46Z,144368,48176,14,Organization,42,,2196,101,289,68,2
jadx,skylot,44388,5124,Java,2013-03-18T17:08:21Z,2025-06-21T10:03:48Z,24056,44388,373,User,4,,817,282,128,236,2
dbeaver,dbeaver,44066,3743,Java,2015-10-21T08:26:28Z,2025-06-21T09:03:49Z,196147,44066,3030,Organization,41,,529,1428,338,2000,61
JeecgBoot,jeecgboot,43079,15398,Java,2018-11-26T10:40:00Z,2025-06-21T10:02:36Z,76130,43079,34,Organization,15,China,838,451,22,869,4
