name,owner,stars,forks,language,created_at,updated_at,size_kb,watchers_count,open_issues,owner_type,owner_public_repos,owner_location,subscribers_count,last_year_commits,contributors,closed_issues,pull_requests
react,facebook,236579,48777,JavaScript,2013-05-24T16:15:54Z,2025-06-21T06:42:48Z,1023462,236579,984,Organization,149,"Menlo Park, California",5000,1572,411,1536,187
javascript-algorithms,trekhleb,191556,30695,JavaScript,2018-03-24T07:47:04Z,2025-06-21T06:06:13Z,13564,191556,364,User,25,Amsterdam,4290,15,208,21,230
javascript,airbnb,146916,26761,JavaScript,2012-11-01T23:13:50Z,2025-06-21T03:19:37Z,3689,146916,172,Organization,196,San Francisco,3727,1,400,57,76
next.js,vercel,132577,28621,JavaScript,2016-10-05T23:32:51Z,2025-06-21T05:31:03Z,2270977,132577,3237,Organization,174,United States of America,1481,5856,431,2000,839
awesome-chatgpt-prompts,f,129308,17126,JavaScript,2022-12-05T13:54:13Z,2025-06-21T06:58:38Z,1427,129308,275,User,257,"Istanbul, Turkey",1508,310,128,120,275
30-seconds-of-code,Chalarangelo,124121,12206,JavaScript,2017-11-29T17:35:03Z,2025-06-21T06:46:26Z,728039,124121,0,User,91,"Athens, Greece",2593,1117,384,16,0
node,nodejs,111832,31897,JavaScript,2014-11-26T19:57:11Z,2025-06-21T06:02:02Z,1353283,111832,2243,Organization,226,,2962,2788,428,2000,552
axios,axios,107090,11153,JavaScript,2014-08-18T22:30:27Z,2025-06-21T05:31:04Z,20329,107090,685,Organization,4,,1180,140,440,224,109
three.js,mrdoob,106779,35827,JavaScript,2010-03-23T18:58:01Z,2025-06-21T04:31:49Z,1444264,106779,570,User,45,,2548,1864,363,1267,141
create-react-app,facebook,103324,27022,JavaScript,2016-07-17T14:55:11Z,2025-06-21T06:51:11Z,25186,103324,2320,Organization,149,"Menlo Park, California",1901,17,450,59,494
open-webui,open-webui,99586,13164,JavaScript,2023-10-06T22:08:27Z,2025-06-21T06:57:03Z,238116,99586,207,Organization,17,,463,7067,391,2000,48
clean-code-javascript,ryanmcdermott,93094,12440,JavaScript,2016-11-25T22:25:41Z,2025-06-21T04:01:44Z,520,93094,109,User,48,Bay Area,1750,0,105,2,38
Web-Dev-For-Beginners,microsoft,88678,13442,JavaScript,2020-11-10T02:44:00Z,2025-06-21T05:50:26Z,95743,88678,142,Organization,6928,"Redmond, WA",2710,94,213,34,63
awesome-mac,jaywcjlove,83978,6556,JavaScript,2016-07-17T15:33:47Z,2025-06-21T06:56:29Z,21274,83978,157,User,186,"Suzhou, China",1501,190,453,85,38
svelte,sveltejs,83138,4553,JavaScript,2016-11-20T18:13:05Z,2025-06-21T04:41:04Z,115099,83138,797,Organization,77,pkg.devDependencies,851,1599,415,1880,34
Font-Awesome,FortAwesome,75371,12224,JavaScript,2012-02-17T14:19:43Z,2025-06-21T03:00:21Z,132252,75371,4128,Organization,43,United States of America,1352,7,7,159,23
json-server,typicode,74486,7181,JavaScript,2013-11-27T13:21:13Z,2025-06-21T05:22:42Z,4507,74486,716,User,78,,1008,14,78,15,98
github-readme-stats,anuraghazra,73941,25078,JavaScript,2020-07-09T10:34:22Z,2025-06-21T03:56:46Z,5730,73941,418,User,138,"India, West Bengal",287,177,265,147,227
uptime-kuma,louislam,71019,6267,JavaScript,2021-07-03T01:02:42Z,2025-06-21T05:30:48Z,29162,71019,781,User,53,Hong Kong,292,488,400,515,93
reveal.js,hakimel,69045,16734,JavaScript,2011-06-07T18:54:22Z,2025-06-20T22:45:31Z,28238,69045,853,User,31,Sweden,1650,64,310,57,84
express,expressjs,67203,19061,JavaScript,2009-06-26T18:56:01Z,2025-06-21T06:57:07Z,9591,67203,189,Organization,46,,1692,133,307,369,86
Chart.js,chartjs,66095,11953,JavaScript,2013-03-17T23:56:36Z,2025-06-20T22:54:29Z,43451,66095,481,Organization,20,,1355,55,427,74,22
webpack,webpack,65394,9078,JavaScript,2012-03-10T10:08:14Z,2025-06-21T06:02:05Z,69032,65394,242,Organization,53,,1447,801,399,477,112
33-js-concepts,leonardomso,65275,9104,JavaScript,2018-09-04T13:27:04Z,2025-06-21T03:18:21Z,1260,65275,81,User,60,"Franca, São Paulo, Brazil",1207,29,192,4,60
resume.github.com,resume,62507,1357,JavaScript,2011-02-06T13:39:55Z,2025-06-20T16:58:53Z,411,62507,66,Organization,1,,345,0,46,2,11
anime,juliangarnier,61737,4127,JavaScript,2016-03-13T21:37:45Z,2025-06-21T06:35:06Z,66020,61737,89,User,19,Paris,769,50,46,205,1
lodash,lodash,60664,7058,JavaScript,2012-04-07T04:11:46Z,2025-06-21T05:47:25Z,49142,60664,111,Organization,5,,820,1,219,48,32
atom,atom,60509,17314,JavaScript,2012-01-20T18:18:21Z,2025-06-21T06:39:59Z,330585,60509,993,Organization,255,"San Francisco, CA",2635,0,325,1,31
markdown-here,adam-p,59948,11201,JavaScript,2012-05-13T03:27:22Z,2025-06-21T04:04:59Z,16461,59948,322,User,63,"Toronto, Canada",1011,27,13,4,15
